decor,st,name,price_group,price_m2,price_sheet
W960,SM/ST7,Белый классический,1,608.35,3526
H1145,ST10,Дуб Бардолино натуральный,3,678.4,3932
H1732,ST9,Береза песочная,3,678.4,3932
H1910,ST9,Бук луговой,3,678.4,3932
H3043,ST12,Эвкалипт темно-коричневый,3,678.4,3932
H3734,ST9,Орех Дижон натуральный,3,678.4,3932
U104,ST9,Алебастр белый,3,678.4,3932
U113,ST9,Коттон бежевый,3,678.4,3932
U708,ST9,Светло-серый,3,678.4,3932
U961,ST7,Чёрный графит ,3,678.4,3932
U999,ST7,Чёрный,3,678.4,3932
H1277,ST9,Акация Лэйклэнд светлая,4,699.62,4055
H3395,ST12,Дуб Корбридж натуральный,4,699.62,4055
H3840,ST9,Клён Мандаль натуральный,4,699.62,4055
U156,ST9,Бежевый песок,4,699.62,4055
U216,ST9,Камель бежевый,4,699.62,4055
U220,ST9,Бежевый нежный,4,699.62,4055
U702,ST9,Кашемир серый,4,699.62,4055
U732,ST9,Серый пыльный (серый асфальт),4,699.62,4055
U763,ST9,Серый перламутровый,4,699.62,4055
U775,ST9,Бело-серый (Серый дымчатый),4,699.62,4055
U963,ST9,Диамант серый (антрацит),4,699.62,4055
W1000,ST9,Белый Премиум,4,699.62,4055
F765,ST20,Серебристый матовый,5,720.67,4177
H1113,ST10,Дуб Канзас коричневый,5,720.67,4177
H1199,ST12,Дуб термо чёрно-коричневый,5,720.67,4177
H1225,ST12,Ясень Тронхейм,5,720.67,4177
H1318,ST10,Дикий дуб натуральный,5,720.67,4177
H1401,ST22,Сосна Касцина,5,720.67,4177
H1487,ST22,Пихта Брамберг,5,720.67,4177
H1636,ST12,Вишня Локарно,5,720.67,4177
H1715,ST12,Орех Парона,5,720.67,4177
H3012,ST22,Кокоболо натуральный,5,720.67,4177
H3131,ST12,Дуб Давос натуральный,5,720.67,4177
H3133,ST12,Дуб Давос трюфель,5,720.67,4177
H3156,ST12,Дуб Корбридж серый,5,720.67,4177
H3157,ST12,Дуб Винченца,5,720.67,4177
H3398,ST12,Дуб Кендал коньяк,5,720.67,4177
H3430,ST22,Сосна Аланд белая,5,720.67,4177
H3433,ST22,Сосна Аланд полярная,5,720.67,4177
H3450,ST22,Флитвуд белый,5,720.67,4177
H3860,ST9,Клён сахарный шампань,5,720.67,4177
U115,ST9,Карат бежевый,5,720.67,4177
U201,ST9,Серая галька,5,720.67,4177
U222,ST9,Крем бежевый,5,720.67,4177
U705,ST9,Ангора серая,5,720.67,4177
U707,ST9,Шёлк серый,5,720.67,4177
U727,ST9,Серый камень,5,720.67,4177
U740,ST9,Серо-коричневый темный,5,720.67,4177
U741,ST9,Лава серая,5,720.67,4177
U748,ST9,Трюфель коричневый,5,720.67,4177
