category,item,unit,price
ЛДСП,ЛДСП Lamarty 16мм (корпус) — плейсхолдер,м2,1550
ЛДСП,ЛДСП Lamarty 16мм (фасад) — плейсхолдер,м2,2000
МДФ АГТ,Фасад МДФ АГТ глянец — плейсхолдер,м2,4200
МДФ АГТ,Фасад МДФ АГТ мат — плейсхолдер,м2,3900
Эмаль,Фасад эмаль (крашеный МДФ) — плейсхолдер,м2,7500
Шпон,Фасад шпон натуральный — плейсхолдер,м2,8500
Стекло,Фасад стекло лакобель — плейсхолдер,м2,6500
Стекло,Фасад стекло сатинато — плейсхолдер,м2,7000
Камень,Фасад камень искусственный — плейсхолдер,м2,15000
Крепёж,Эксцентрик,шт,25
Крепёж,Конфирмат,шт,15
Крепёж,Шкант,шт,5
Фурнитура Blum,Петля Blum CLIP top,шт,650
Фурнитура Blum,Петля Blum CLIP top усиленная,шт,950
Фурнитура Blum,Направляющие Blum TANDEM (комплект),компл,3200
Фурнитура,Направляющие шариковые (плейсхолдер),компл,1800
Фурнитура Blum,Направляющие Blum Legrabox (комплект),компл,4500
Фурнитура Blum,Направляющие Blum Movento (комплект),компл,3800
Фурнитура Blum,Механизм Blum Aventos HK,шт,7000
Фурнитура Blum,Механизм Blum Aventos HF,шт,9500
Фурнитура Blum,Доводчик Blum BLUMOTION,шт,450
Фурнитура,Ручка накладная,шт,350
Фурнитура,Профиль push-to-open,шт,400
Подсветка,LED-лента + блок питания,м.п.,900
Подсветка,Сенсорный выключатель,шт,600
Фурнитура,Штанга овальная (плейсхолдер),м.п.,1200
Фурнитура,Штанга круглая (плейсхолдер),м.п.,950
Работы,Раскрой и кромление,м2,350
Работы,Сборка модуля,шт,2500
Работы,Монтаж на объекте,шт,3000
Прочее,Задняя стенка ХДФ,м2,380
